title,description,text,category,pubDate,link
Strike action cancelled after the Queen's death,"Postal workers and train staff have postponed walkouts, while some shops have said they will close.","Strike action cancelled after the Queen's death. Postal workers and train staff have postponed walkouts, while some shops have said they will close.",business,"Fri, 09 Sep 2022 13:32:48 GMT",https://www.bbc.co.uk/news/business-62827929?at_medium=RSS&at_campaign=KARANGA
IMF: UK set for slowest growth of G7 countries in 2023,"The IMF cuts its UK forecast for 2023 and says the global economy is ""teetering on the edge"" of recession.","IMF: UK set for slowest growth of G7 countries in 2023. The IMF cuts its UK forecast for 2023 and says the global economy is ""teetering on the edge"" of recession.",business,"Tue, 26 Jul 2022 16:40:32 GMT",https://www.bbc.co.uk/news/business-62299490?at_medium=RSS&at_campaign=KARANGA
What is happening to energy bills?,A new energy price cap means the cost of electricity and gas will fall from 1 April.,What is happening to energy bills?. A new energy price cap means the cost of electricity and gas will fall from 1 April.,business,"Wed, 27 Mar 2024 14:01:37 GMT",https://www.bbc.co.uk/news/business-58090533
Why does the Bank of England change interest rates?,The Bank of England is increasing its key interest rate to help curb inflation.,Why does the Bank of England change interest rates?. The Bank of England is increasing its key interest rate to help curb inflation.,business,"Thu, 03 Nov 2022 12:02:00 GMT",https://www.bbc.co.uk/news/business-50837114?at_medium=RSS&at_campaign=KARANGA
Debt: What do I do if I can't afford to pay?,What help and options are available to people struggling with debt repayments?,Debt: What do I do if I can't afford to pay?. What help and options are available to people struggling with debt repayments?,business,"Tue, 23 May 2023 14:45:27 GMT",https://www.bbc.co.uk/news/business-64291327?at_medium=RSS&at_campaign=KARANGA
Electric car drivers must pay tax from 2025,"Motoring groups, including the AA, warned the move would reduce the incentive to switch to electric vehicles.","Electric car drivers must pay tax from 2025. Motoring groups, including the AA, warned the move would reduce the incentive to switch to electric vehicles.",business,"Thu, 17 Nov 2022 20:06:32 GMT",https://www.bbc.co.uk/news/business-63660321?at_medium=RSS&at_campaign=KARANGA
What is GDP and how does it affect me?,"How the health of the economy is measured, and why the GDP calculation matters.","What is GDP and how does it affect me?. How the health of the economy is measured, and why the GDP calculation matters.",business,"Fri, 10 May 2024 09:14:31 GMT",https://www.bbc.co.uk/news/business-13200758
Strike dates: Who is striking when and what pay do they want?,"""Significant disruption"" could be created by mass strike action, the government says.","Strike dates: Who is striking when and what pay do they want?. ""Significant disruption"" could be created by mass strike action, the government says.",business,"Tue, 31 Jan 2023 16:42:13 GMT",https://www.bbc.co.uk/news/business-62134314?at_medium=RSS&at_campaign=KARANGA
UK economy fell into recession after people cut spending,People spending less helped drive the UK economy to shrink by more than expected at the end of last year.,UK economy fell into recession after people cut spending. People spending less helped drive the UK economy to shrink by more than expected at the end of last year.,business,"Thu, 15 Feb 2024 16:08:20 GMT",https://www.bbc.co.uk/news/business-68285833?at_medium=RSS&at_campaign=KARANGA
B&M buys up to 51 stores from collapsed rival Wilko,B&M has struck a deal to take on dozens of Wilko's 400 shops after it collapsed into administration.,B&M buys up to 51 stores from collapsed rival Wilko. B&M has struck a deal to take on dozens of Wilko's 400 shops after it collapsed into administration.,business,"Tue, 05 Sep 2023 13:52:25 GMT",https://www.bbc.co.uk/news/business-66711168?at_medium=RSS&at_campaign=KARANGA
Sainsbury's and Tesco stop selling disposable barbecues,The supermarkets are joining other chains in removing the barbecues from sale over fire risk.,Sainsbury's and Tesco stop selling disposable barbecues. The supermarkets are joining other chains in removing the barbecues from sale over fire risk.,business,"Thu, 11 Aug 2022 21:20:06 GMT",https://www.bbc.co.uk/news/business-62510098?at_medium=RSS&at_campaign=KARANGA
"Cost of living: If no one comes we close early, says pub","Almost 90% of pubs are considering shorter opening hours over winter as bills rise, according to a new survey.","Cost of living: If no one comes we close early, says pub. Almost 90% of pubs are considering shorter opening hours over winter as bills rise, according to a new survey.",business,"Wed, 21 Dec 2022 00:02:54 GMT",https://www.bbc.co.uk/news/business-64025508?at_medium=RSS&at_campaign=KARANGA
Energy firms call for windfall tax to fall with prices,"It comes ahead of a package of measures on energy security, which the BBC understands will be announced on Thursday.","Energy firms call for windfall tax to fall with prices. It comes ahead of a package of measures on energy security, which the BBC understands will be announced on Thursday.",business,"Sat, 25 Mar 2023 17:47:19 GMT",https://www.bbc.co.uk/news/business-65077495?at_medium=RSS&at_campaign=KARANGA
How Rishi Sunak's Spring Statement will affect you,"Surging prices, National Insurance changes and fuel duty cuts - the impact on your finances explained.","How Rishi Sunak's Spring Statement will affect you. Surging prices, National Insurance changes and fuel duty cuts - the impact on your finances explained.",business,"Wed, 23 Mar 2022 15:35:00 GMT",https://www.bbc.co.uk/news/business-60819205?at_medium=RSS&at_campaign=KARANGA
UK interest rates: How does a rise affect me?,Interest rates are one of the main tools used to keep the UK economy growing steadily.,UK interest rates: How does a rise affect me?. Interest rates are one of the main tools used to keep the UK economy growing steadily.,business,"Thu, 04 Aug 2022 11:01:43 GMT",https://www.bbc.co.uk/news/business-57764601?at_medium=RSS&at_campaign=KARANGA
Average two-year mortgage rate close to 6%,Lenders have been increasing the cost of new fixed-rate deals rapidly during a tumultuous week.,Average two-year mortgage rate close to 6%. Lenders have been increasing the cost of new fixed-rate deals rapidly during a tumultuous week.,business,"Fri, 16 Jun 2023 10:53:25 GMT",https://www.bbc.co.uk/news/business-65928188?at_medium=RSS&at_campaign=KARANGA
How weather apps are trying to be more accurate,Forecasters are continuing to offer more real-time updates and personalised recommendations.,How weather apps are trying to be more accurate. Forecasters are continuing to offer more real-time updates and personalised recommendations.,business,"Mon, 04 Dec 2023 00:12:36 GMT",https://www.bbc.co.uk/news/business-67541931?at_medium=RSS&at_campaign=KARANGA
Marks & Spencer scraps plastic for paper bags,Marks & Spencer said the move should cut plastics use.,Marks & Spencer scraps plastic for paper bags. Marks & Spencer said the move should cut plastics use.,business,"Fri, 15 Sep 2023 18:22:58 GMT",https://www.bbc.co.uk/news/business-66822492?at_medium=RSS&at_campaign=KARANGA
"Pay rises above inflation would be a terrible mistake, says Hunt","The chancellor says the impact of the junior doctors' strike on NHS patients is ""regrettable"".","Pay rises above inflation would be a terrible mistake, says Hunt. The chancellor says the impact of the junior doctors' strike on NHS patients is ""regrettable"".",business,"Thu, 13 Apr 2023 17:41:20 GMT",https://www.bbc.co.uk/news/business-65267370?at_medium=RSS&at_campaign=KARANGA
Budget 2023: What could be in it and when will it happen?,The government will reveal how much of our money it will take in taxes and what it will spend it on.,Budget 2023: What could be in it and when will it happen?. The government will reveal how much of our money it will take in taxes and what it will spend it on.,business,"Fri, 03 Mar 2023 14:43:52 GMT",https://www.bbc.co.uk/news/business-64789405?at_medium=RSS&at_campaign=KARANGA
Whistleblower: Boeing supplier sent faulty parts,A former quality inspector for Spirit AeroSystems claims he found many defects on parts due for shipping.,Whistleblower: Boeing supplier sent faulty parts. A former quality inspector for Spirit AeroSystems claims he found many defects on parts due for shipping.,business,"Wed, 08 May 2024 23:43:34 GMT",https://www.bbc.co.uk/news/business-68979354
'We turned down a client to uphold gay rights',The global B Corp business accreditation scheme rewards firms that behave ethically.,'We turned down a client to uphold gay rights'. The global B Corp business accreditation scheme rewards firms that behave ethically.,business,"Wed, 05 Apr 2023 23:03:25 GMT",https://www.bbc.co.uk/news/business-65173246?at_medium=RSS&at_campaign=KARANGA
Petrol prices on UK forecourts hit 150p a litre,"Rising oil prices have lifted the cost of filling up but it may prove short-term, claim experts.","Petrol prices on UK forecourts hit 150p a litre. Rising oil prices have lifted the cost of filling up but it may prove short-term, claim experts.",business,"Tue, 23 Apr 2024 11:45:39 GMT",https://www.bbc.co.uk/news/business-68881429
H&M starts charging shoppers for online returns,"Customers must now pay £1.99 when they return items either in store or online, although members are exempt.","H&M starts charging shoppers for online returns. Customers must now pay £1.99 when they return items either in store or online, although members are exempt.",business,"Tue, 19 Sep 2023 12:06:31 GMT",https://www.bbc.co.uk/news/business-66851912?at_medium=RSS&at_campaign=KARANGA
Whistleblowing banker who went to prison speaks out,"Peter Johnson, who was jailed for ""rigging"" interest rates, speaks publicly for the first time since being released in 2018.","Whistleblowing banker who went to prison speaks out. Peter Johnson, who was jailed for ""rigging"" interest rates, speaks publicly for the first time since being released in 2018.",business,"Sat, 17 Jun 2023 01:34:53 GMT",https://www.bbc.co.uk/news/business-65916892?at_medium=RSS&at_campaign=KARANGA
"Cutting UK taxes now would be a mistake, says IMF","Tax cuts could be misguided and might boost inflation by strengthening spending, a top IMF official says.","Cutting UK taxes now would be a mistake, says IMF. Tax cuts could be misguided and might boost inflation by strengthening spending, a top IMF official says.",business,"Sun, 17 Jul 2022 23:02:10 GMT",https://www.bbc.co.uk/news/business-62168489?at_medium=RSS&at_campaign=KARANGA
Ryanair and EasyJet ready to snap up Flybe staff,Airlines are inviting employees of the collapsed airline to fill vacancies for cabin crew and other roles.,Ryanair and EasyJet ready to snap up Flybe staff. Airlines are inviting employees of the collapsed airline to fill vacancies for cabin crew and other roles.,business,"Sun, 29 Jan 2023 16:54:24 GMT",https://www.bbc.co.uk/news/business-64445669?at_medium=RSS&at_campaign=KARANGA
Thames Water in urgent talks amid fears of collapse,"Whatever happens to firm, which serves a quarter of the UK population, water supplies will continue as normal.","Thames Water in urgent talks amid fears of collapse. Whatever happens to firm, which serves a quarter of the UK population, water supplies will continue as normal.",business,"Wed, 28 Jun 2023 23:13:55 GMT",https://www.bbc.co.uk/news/business-66039170?at_medium=RSS&at_campaign=KARANGA
'I put off starting a family because of a £300 rent rise',Women share their stories of how they feel renting has held them back in life.,'I put off starting a family because of a £300 rent rise'. Women share their stories of how they feel renting has held them back in life.,business,"Tue, 28 May 2024 00:17:11 GMT",https://www.bbc.co.uk/news/business-69049450
"House price falls expected into new year, Halifax says","The UK's biggest mortgage lender says prices are still falling, but the rate of reduction has slowed.","House price falls expected into new year, Halifax says. The UK's biggest mortgage lender says prices are still falling, but the rate of reduction has slowed.",business,"Fri, 06 Oct 2023 10:01:17 GMT",https://www.bbc.co.uk/news/business-67028467?at_medium=RSS&at_campaign=KARANGA
FTX: 'Crypto King' admits people got hurt as he speaks out in trial,Former crypto boss Sam Bankman-Fried says he made many mistakes when running the cryptocurrency exchange.,FTX: 'Crypto King' admits people got hurt as he speaks out in trial. Former crypto boss Sam Bankman-Fried says he made many mistakes when running the cryptocurrency exchange.,business,"Fri, 27 Oct 2023 20:53:34 GMT",https://www.bbc.co.uk/news/business-67242519?at_medium=RSS&at_campaign=KARANGA
Long-term sick: How record number is changing UK economy,For every 13 people working one person is long-term sick - and economists say it is harming growth.,Long-term sick: How record number is changing UK economy. For every 13 people working one person is long-term sick - and economists say it is harming growth.,business,"Sat, 20 May 2023 08:40:55 GMT",https://www.bbc.co.uk/news/business-65625529?at_medium=RSS&at_campaign=KARANGA
Anger as fans say Coronation Concert ballot 'misleading',"Fans who applied to attend thought they had won, only to find out the tickets had already gone.","Anger as fans say Coronation Concert ballot 'misleading'. Fans who applied to attend thought they had won, only to find out the tickets had already gone.",business,"Tue, 25 Apr 2023 16:38:54 GMT",https://www.bbc.co.uk/news/business-65387085?at_medium=RSS&at_campaign=KARANGA
Wilko: More jobs to go as 52 stores to close,"Administrators say more than 1,300 staff will be made redundant as hopes of a wider rescue deal fade.","Wilko: More jobs to go as 52 stores to close. Administrators say more than 1,300 staff will be made redundant as hopes of a wider rescue deal fade.",business,"Tue, 05 Sep 2023 17:00:45 GMT",https://www.bbc.co.uk/news/business-66721630?at_medium=RSS&at_campaign=KARANGA
"French hotel spent €1,500 getting rid of bedbugs","It's crucial to catch a bedbug outbreak early, and firms are turning to tech to achieve this.","French hotel spent €1,500 getting rid of bedbugs. It's crucial to catch a bedbug outbreak early, and firms are turning to tech to achieve this.",business,"Mon, 16 Oct 2023 23:07:29 GMT",https://www.bbc.co.uk/news/business-67123305?at_medium=RSS&at_campaign=KARANGA
How have the child benefit rules changed?,"Changes announced in the Budget mean people earning up to £80,000 can get the benefit.","How have the child benefit rules changed?. Changes announced in the Budget mean people earning up to £80,000 can get the benefit.",business,"Fri, 05 Apr 2024 23:01:51 GMT",https://www.bbc.co.uk/news/business-68500022
Just 100 days left to spend paper £20 and £50 notes,"It will soon be impossible to pay in shops with the notes, which are being replaced by plastic versions.","Just 100 days left to spend paper £20 and £50 notes. It will soon be impossible to pay in shops with the notes, which are being replaced by plastic versions.",business,"Wed, 22 Jun 2022 23:09:27 GMT",https://www.bbc.co.uk/news/business-61895327?at_medium=RSS&at_campaign=KARANGA
National insurance cut to kick in but more pay tax,Tax and benefit changes take effect on Saturday - but the wider outlook for our finances is more complex.,National insurance cut to kick in but more pay tax. Tax and benefit changes take effect on Saturday - but the wider outlook for our finances is more complex.,business,"Thu, 04 Apr 2024 23:04:39 GMT",https://www.bbc.co.uk/news/business-68722934
"P&O Ferries' job cuts a 'PR disaster', say experts",Communications experts say P&O Ferries' move to sack 800 staff was 'how not to handle a difficult situation',"P&O Ferries' job cuts a 'PR disaster', say experts. Communications experts say P&O Ferries' move to sack 800 staff was 'how not to handle a difficult situation'",business,"Fri, 18 Mar 2022 22:40:31 GMT",https://www.bbc.co.uk/news/business-60799825?at_medium=RSS&at_campaign=KARANGA
Elon Musk threatens to walk away from Twitter deal,"The billionaire accuses the company of ""thwarting"" his requests to learn more about spam accounts.","Elon Musk threatens to walk away from Twitter deal. The billionaire accuses the company of ""thwarting"" his requests to learn more about spam accounts.",business,"Mon, 06 Jun 2022 21:07:48 GMT",https://www.bbc.co.uk/news/business-61709782?at_medium=RSS&at_campaign=KARANGA
When are the £400 energy rebate and other cost-of-living payments due?,All UK households will get a grant which will reduce energy bills by £400 from October.,When are the £400 energy rebate and other cost-of-living payments due?. All UK households will get a grant which will reduce energy bills by £400 from October.,business,"Fri, 30 Sep 2022 23:15:10 GMT",https://www.bbc.co.uk/news/business-61592496?at_medium=RSS&at_campaign=KARANGA
How will I get cost-of-living payments?,"Payments to help with the cost of living have started being made, with more to come later this year.","How will I get cost-of-living payments?. Payments to help with the cost of living have started being made, with more to come later this year.",business,"Fri, 29 Jul 2022 07:58:25 GMT",https://www.bbc.co.uk/news/business-61592496?at_medium=RSS&at_campaign=KARANGA
Nigel Farage launches fresh attack over Coutts bank closure,"The ex-UK Independence Party leader accuses the BBC of falling for ""spin"", saying his account was closed due to his views.","Nigel Farage launches fresh attack over Coutts bank closure. The ex-UK Independence Party leader accuses the BBC of falling for ""spin"", saying his account was closed due to his views.",business,"Wed, 19 Jul 2023 22:00:23 GMT",https://www.bbc.co.uk/news/business-66247057?at_medium=RSS&at_campaign=KARANGA
Chicken rice: Why Singapore's much-loved dish is under threat,The city state is feeling the economic impact of Malaysia's export curbs on chicken.,Chicken rice: Why Singapore's much-loved dish is under threat. The city state is feeling the economic impact of Malaysia's export curbs on chicken.,business,"Thu, 02 Jun 2022 23:09:07 GMT",https://www.bbc.co.uk/news/business-61589222?at_medium=RSS&at_campaign=KARANGA
Danone boss calls for higher taxes on unhealthy food,Danone's UK president wants the government to use tax incentives to promote healthier products.,Danone boss calls for higher taxes on unhealthy food. Danone's UK president wants the government to use tax incentives to promote healthier products.,business,"Sun, 11 Jun 2023 20:15:38 GMT",https://www.bbc.co.uk/news/business-65872962?at_medium=RSS&at_campaign=KARANGA
Can the Panama Canal save itself?,The authority that runs the canal is looking at ways to conserve the water it needs to stay open.,Can the Panama Canal save itself?. The authority that runs the canal is looking at ways to conserve the water it needs to stay open.,business,"Wed, 06 Mar 2024 00:02:57 GMT",https://www.bbc.co.uk/news/business-68467529
RMT union announces November rail strike dates,"There will be fresh Network Rail strikes on 3, 5 and 7 November as part of a dispute over pay","RMT union announces November rail strike dates. There will be fresh Network Rail strikes on 3, 5 and 7 November as part of a dispute over pay",business,"Tue, 18 Oct 2022 22:21:12 GMT",https://www.bbc.co.uk/news/business-63307427?at_medium=RSS&at_campaign=KARANGA
Can drumming reconnect you to your colleagues?,Companies are having to work extra hard to make their staff feel connected to their organisation.,Can drumming reconnect you to your colleagues?. Companies are having to work extra hard to make their staff feel connected to their organisation.,business,"Thu, 04 Aug 2022 23:04:12 GMT",https://www.bbc.co.uk/news/business-62061572?at_medium=RSS&at_campaign=KARANGA
How Qatar’s riches touch millions of UK lives,"From how you heat your home to where you shop, the UK's links to Qatar may be part of your day-to-day life.","How Qatar’s riches touch millions of UK lives. From how you heat your home to where you shop, the UK's links to Qatar may be part of your day-to-day life.",business,"Thu, 24 Nov 2022 00:05:00 GMT",https://www.bbc.co.uk/news/business-63715388?at_medium=RSS&at_campaign=KARANGA
All you need to know about Friday's train strikes,"LNER and Northern train drivers, plus London Overground staff, are all set to stage walkouts.","All you need to know about Friday's train strikes. LNER and Northern train drivers, plus London Overground staff, are all set to stage walkouts.",business,"Fri, 01 Mar 2024 13:12:41 GMT",https://www.bbc.co.uk/news/business-61634959
People face biggest drop in living standards since 1956,"Wages will lag soaring prices meaning the biggest drop in standards since 1956, says the OBR.","People face biggest drop in living standards since 1956. Wages will lag soaring prices meaning the biggest drop in standards since 1956, says the OBR.",business,"Wed, 23 Mar 2022 18:21:18 GMT",https://www.bbc.co.uk/news/business-60846951?at_medium=RSS&at_campaign=KARANGA
Sacked CBI boss says reputation 'totally destroyed',The former head of the business group tells the BBC his side of the story in an exclusive interview.,Sacked CBI boss says reputation 'totally destroyed'. The former head of the business group tells the BBC his side of the story in an exclusive interview.,business,"Tue, 18 Apr 2023 23:06:48 GMT",https://www.bbc.co.uk/news/business-65313822?at_medium=RSS&at_campaign=KARANGA
